,date,SPX
2651,1980-09-19,129.25
2652,1980-09-22,130.39999389648438
2653,1980-09-23,129.42999267578125
2654,1980-09-24,130.3699951171875
2655,1980-09-25,128.72000122070312
2656,1980-09-26,126.3499984741211
2657,1980-09-29,123.54000091552734
2658,1980-09-30,125.45999908447266
2659,1980-10-01,127.12999725341797
2660,1980-10-02,128.08999633789062
2661,1980-10-03,129.3300018310547
2662,1980-10-06,131.72999572753906
2663,1980-10-07,131.0
2664,1980-10-08,131.64999389648438
2665,1980-10-09,131.0399932861328
2666,1980-10-10,130.2899932861328
2667,1980-10-13,132.02999877929688
2668,1980-10-14,132.02000427246094
2669,1980-10-15,133.6999969482422
2670,1980-10-16,132.22000122070312
2671,1980-10-17,131.52000427246094
2672,1980-10-20,132.61000061035156
2673,1980-10-21,131.83999633789062
2674,1980-10-22,131.9199981689453
2675,1980-10-23,129.52999877929688
2676,1980-10-24,129.85000610351562
2677,1980-10-27,127.87999725341797
2678,1980-10-28,128.0500030517578
2679,1980-10-29,127.91000366210938
2680,1980-10-30,126.29000091552734
2681,1980-10-31,127.47000122070312
2682,1980-11-03,129.0399932861328
2683,1980-11-05,131.3300018310547
2684,1980-11-06,128.91000366210938
2685,1980-11-07,129.17999267578125
2686,1980-11-10,129.47999572753906
2687,1980-11-11,131.25999450683594
2688,1980-11-12,134.58999633789062
2689,1980-11-13,136.49000549316406
2690,1980-11-14,137.14999389648438
2691,1980-11-17,137.75
2692,1980-11-18,139.6999969482422
2693,1980-11-19,139.05999755859375
2694,1980-11-20,140.39999389648438
2695,1980-11-21,139.11000061035156
2696,1980-11-24,138.30999755859375
2697,1980-11-25,139.3300018310547
2698,1980-11-26,140.1699981689453
2699,1980-11-28,140.52000427246094
2700,1980-12-01,137.2100067138672
2701,1980-12-02,136.97000122070312
2702,1980-12-03,136.7100067138672
2703,1980-12-04,136.47999572753906
2704,1980-12-05,134.02999877929688
2705,1980-12-08,130.61000061035156
2706,1980-12-09,130.47999572753906
2707,1980-12-10,128.25999450683594
2708,1980-12-11,127.36000061035156
2709,1980-12-12,129.22999572753906
2710,1980-12-15,129.4499969482422
2711,1980-12-16,130.60000610351562
2712,1980-12-17,132.88999938964844
2713,1980-12-18,133.0
2714,1980-12-19,133.6999969482422
2715,1980-12-22,135.77999877929688
2716,1980-12-23,135.3000030517578
2717,1980-12-24,135.8800048828125
2718,1980-12-26,136.57000732421875
2719,1980-12-29,135.02999877929688
2720,1980-12-30,135.3300018310547
2721,1980-12-31,135.75999450683594
